device: cpu
train size:	8500
val size:	1500
[   0.48 min] Gen   1/300 | best_fit=2.33087  avg_fit=3.83230 | best_h=75  avg_h=74.7
[   0.69 min] Gen   2/300 | best_fit=2.33087  avg_fit=3.58158 | best_h=75  avg_h=74.4
[   0.91 min] Gen   3/300 | best_fit=2.33087  avg_fit=3.22250 | best_h=75  avg_h=74.2
[   1.15 min] Gen   4/300 | best_fit=2.33087  avg_fit=3.06576 | best_h=75  avg_h=73.7
[   1.43 min] Gen   5/300 | best_fit=2.18375  avg_fit=2.96093 | best_h=70  avg_h=73.4
[   1.69 min] Gen   6/300 | best_fit=1.73618  avg_fit=2.77899 | best_h=70  avg_h=72.5
[   1.88 min] Gen   7/300 | best_fit=1.56117  avg_fit=2.09203 | best_h=68  avg_h=70.1
[   2.10 min] Gen   8/300 | best_fit=1.35606  avg_fit=1.78662 | best_h=69  avg_h=69.6
[   2.31 min] Gen   9/300 | best_fit=1.29350  avg_fit=1.76794 | best_h=66  avg_h=68.6
[   2.52 min] Gen  10/300 | best_fit=1.19808  avg_fit=1.45450 | best_h=65  avg_h=68.4
[   2.76 min] Gen  11/300 | best_fit=1.07675  avg_fit=1.39377 | best_h=69  avg_h=66.3
[   2.96 min] Gen  12/300 | best_fit=0.91259  avg_fit=1.37224 | best_h=62  avg_h=65.5
[   3.16 min] Gen  13/300 | best_fit=0.87052  avg_fit=1.34323 | best_h=59  avg_h=64.3
[   3.35 min] Gen  14/300 | best_fit=0.87052  avg_fit=1.08959 | best_h=59  avg_h=62.2
[   3.54 min] Gen  15/300 | best_fit=0.73861  avg_fit=1.07698 | best_h=62  avg_h=60.2
[   3.72 min] Gen  16/300 | best_fit=0.73861  avg_fit=0.95055 | best_h=62  avg_h=59.3
[   3.90 min] Gen  17/300 | best_fit=0.67982  avg_fit=1.20511 | best_h=57  avg_h=59.9
[   4.08 min] Gen  18/300 | best_fit=0.62682  avg_fit=0.90468 | best_h=61  avg_h=59.5
[   4.28 min] Gen  19/300 | best_fit=0.57146  avg_fit=0.96150 | best_h=58  avg_h=58.3
[   4.50 min] Gen  20/300 | best_fit=0.57146  avg_fit=0.72175 | best_h=58  avg_h=58.9
[   4.69 min] Gen  21/300 | best_fit=0.52248  avg_fit=0.87649 | best_h=61  avg_h=58.2
[   4.89 min] Gen  22/300 | best_fit=0.47888  avg_fit=0.68448 | best_h=57  avg_h=57.9
[   5.08 min] Gen  23/300 | best_fit=0.45917  avg_fit=0.71717 | best_h=54  avg_h=57.9
[   5.27 min] Gen  24/300 | best_fit=0.39210  avg_fit=1.58213 | best_h=54  avg_h=56.7
[   5.45 min] Gen  25/300 | best_fit=0.38393  avg_fit=0.44140 | best_h=53  avg_h=54.9
[   5.66 min] Gen  26/300 | best_fit=0.34545  avg_fit=0.40580 | best_h=53  avg_h=53.5
[   5.85 min] Gen  27/300 | best_fit=0.31886  avg_fit=0.39902 | best_h=50  avg_h=53.1
[   6.00 min] Gen  28/300 | best_fit=0.28606  avg_fit=0.60475 | best_h=50  avg_h=52.0
[   6.16 min] Gen  29/300 | best_fit=0.27069  avg_fit=0.34119 | best_h=50  avg_h=50.8
[   6.31 min] Gen  30/300 | best_fit=0.27069  avg_fit=0.37287 | best_h=50  avg_h=50.5
[   6.46 min] Gen  31/300 | best_fit=0.27016  avg_fit=1.41609 | best_h=50  avg_h=50.6
[   6.61 min] Gen  32/300 | best_fit=0.26888  avg_fit=0.32578 | best_h=49  avg_h=50.0
[   6.76 min] Gen  33/300 | best_fit=0.24741  avg_fit=0.90535 | best_h=49  avg_h=49.5
[   6.91 min] Gen  34/300 | best_fit=0.24741  avg_fit=0.93938 | best_h=49  avg_h=49.3
[   7.06 min] Gen  35/300 | best_fit=0.23132  avg_fit=1.05907 | best_h=48  avg_h=49.0
[   7.21 min] Gen  36/300 | best_fit=0.22665  avg_fit=3.63091 | best_h=48  avg_h=48.2
[   7.35 min] Gen  37/300 | best_fit=0.22581  avg_fit=0.26584 | best_h=47  avg_h=47.7
[   7.50 min] Gen  38/300 | best_fit=0.21464  avg_fit=0.50386 | best_h=47  avg_h=47.6
[   7.64 min] Gen  39/300 | best_fit=0.20703  avg_fit=3.56617 | best_h=47  avg_h=47.3
[   7.78 min] Gen  40/300 | best_fit=0.20703  avg_fit=0.77779 | best_h=47  avg_h=47.1
