device: cpu
train size:	8500
val size:	1500
[   0.01 min] Gen   1/300 | best_fit=3.64973  avg_fit=5.83646 | best_h=75  avg_h=74.9
[   0.03 min] Gen   2/300 | best_fit=3.57593  avg_fit=5.63345 | best_h=73  avg_h=73.9
[   0.04 min] Gen   3/300 | best_fit=3.11751  avg_fit=5.61577 | best_h=65  avg_h=74.2
[   0.05 min] Gen   4/300 | best_fit=2.62550  avg_fit=5.41088 | best_h=50  avg_h=70.0
[   0.06 min] Gen   5/300 | best_fit=2.62550  avg_fit=4.30613 | best_h=50  avg_h=65.8
[   0.06 min] Gen   6/300 | best_fit=2.23759  avg_fit=4.01292 | best_h=50  avg_h=59.3
[   0.07 min] Gen   7/300 | best_fit=2.20040  avg_fit=3.56509 | best_h=48  avg_h=54.2
[   0.08 min] Gen   8/300 | best_fit=2.08424  avg_fit=3.52367 | best_h=50  avg_h=50.1
[   0.09 min] Gen   9/300 | best_fit=2.08424  avg_fit=3.28160 | best_h=50  avg_h=48.8
[   0.10 min] Gen  10/300 | best_fit=2.05165  avg_fit=2.89095 | best_h=48  avg_h=48.0
[   0.11 min] Gen  11/300 | best_fit=1.95003  avg_fit=3.18424 | best_h=50  avg_h=48.3
[   0.12 min] Gen  12/300 | best_fit=1.70863  avg_fit=3.34039 | best_h=42  avg_h=48.0
[   0.13 min] Gen  13/300 | best_fit=1.70863  avg_fit=3.57112 | best_h=42  avg_h=46.4
[   0.14 min] Gen  14/300 | best_fit=1.70863  avg_fit=2.43191 | best_h=42  avg_h=44.9
[   0.15 min] Gen  15/300 | best_fit=1.64592  avg_fit=2.43575 | best_h=42  avg_h=41.9
[   0.16 min] Gen  16/300 | best_fit=1.55567  avg_fit=3.18382 | best_h=40  avg_h=41.1
[   0.17 min] Gen  17/300 | best_fit=1.55567  avg_fit=2.52903 | best_h=40  avg_h=41.4
[   0.18 min] Gen  18/300 | best_fit=1.41733  avg_fit=2.43407 | best_h=37  avg_h=40.7
[   0.19 min] Gen  19/300 | best_fit=1.34904  avg_fit=2.41975 | best_h=32  avg_h=38.6
[   0.20 min] Gen  20/300 | best_fit=1.32457  avg_fit=2.34268 | best_h=35  avg_h=36.4
[   0.21 min] Gen  21/300 | best_fit=1.09603  avg_fit=1.87755 | best_h=24  avg_h=35.2
[   0.22 min] Gen  22/300 | best_fit=1.09603  avg_fit=1.82139 | best_h=24  avg_h=31.4
[   0.23 min] Gen  23/300 | best_fit=0.99219  avg_fit=1.94610 | best_h=28  avg_h=28.9
[   0.24 min] Gen  24/300 | best_fit=0.88201  avg_fit=1.45668 | best_h=21  avg_h=26.4
[   0.25 min] Gen  25/300 | best_fit=0.60822  avg_fit=1.49526 | best_h=18  avg_h=23.3
[   0.26 min] Gen  26/300 | best_fit=0.54945  avg_fit=1.29421 | best_h=16  avg_h=20.5
[   0.26 min] Gen  27/300 | best_fit=0.39397  avg_fit=0.73966 | best_h=13  avg_h=16.6
[   0.27 min] Gen  28/300 | best_fit=0.39397  avg_fit=0.64260 | best_h=13  avg_h=14.8
[   0.28 min] Gen  29/300 | best_fit=0.27548  avg_fit=0.54352 | best_h=10  avg_h=13.4
[   0.29 min] Gen  30/300 | best_fit=0.14333  avg_fit=0.43302 | best_h=7  avg_h=11.7
[   0.30 min] Gen  31/300 | best_fit=0.12053  avg_fit=0.29475 | best_h=7  avg_h=9.9
[   0.31 min] Gen  32/300 | best_fit=0.12053  avg_fit=0.20010 | best_h=7  avg_h=7.6
[   0.32 min] Gen  33/300 | best_fit=0.12053  avg_fit=0.17457 | best_h=7  avg_h=6.2
[   0.33 min] Gen  34/300 | best_fit=0.10439  avg_fit=0.13684 | best_h=7  avg_h=6.3
[   0.33 min] Gen  35/300 | best_fit=0.09669  avg_fit=0.15229 | best_h=7  avg_h=6.6
[   0.34 min] Gen  36/300 | best_fit=0.09655  avg_fit=0.12794 | best_h=7  avg_h=6.2
[   0.35 min] Gen  37/300 | best_fit=0.09655  avg_fit=0.14253 | best_h=7  avg_h=6.5
[   0.36 min] Gen  38/300 | best_fit=0.09655  avg_fit=0.12964 | best_h=7  avg_h=6.8
[   0.37 min] Gen  39/300 | best_fit=0.09655  avg_fit=0.12213 | best_h=7  avg_h=6.5
[   0.38 min] Gen  40/300 | best_fit=0.09655  avg_fit=0.13715 | best_h=7  avg_h=6.8
[   0.39 min] Gen  41/300 | best_fit=0.09655  avg_fit=0.11432 | best_h=7  avg_h=6.6
[   0.40 min] Gen  42/300 | best_fit=0.09655  avg_fit=0.11841 | best_h=7  avg_h=6.6
[   0.40 min] Gen  43/300 | best_fit=0.09655  avg_fit=0.11527 | best_h=7  avg_h=6.6
[   0.41 min] Gen  44/300 | best_fit=0.09655  avg_fit=0.12230 | best_h=7  avg_h=6.6
[   0.42 min] Gen  45/300 | best_fit=0.09544  avg_fit=0.11677 | best_h=7  avg_h=6.7
[   0.43 min] Gen  46/300 | best_fit=0.09544  avg_fit=0.11431 | best_h=7  avg_h=6.6
[   0.44 min] Gen  47/300 | best_fit=0.09544  avg_fit=0.12183 | best_h=7  avg_h=6.8
[   0.45 min] Gen  48/300 | best_fit=0.09544  avg_fit=0.15996 | best_h=7  avg_h=6.4
[   0.46 min] Gen  49/300 | best_fit=0.09544  avg_fit=0.14368 | best_h=7  avg_h=6.6
